sample_index,sample_id,split,source_file,geometry_type,damage_type,parameter_count,p1,p2,p3,p4,p5,p6,p7,p8
0,666:0000:0_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,50,1,,,,
1,666:0001:0_0_45_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,45,1,,,,
2,666:0002:0_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,40,1,,,,
3,666:0003:0_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,35,1,,,,
4,666:0004:0_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,30,1,,,,
5,666:0005:0_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,25,1,,,,
6,666:0006:0_0_20_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,20,1,,,,
7,666:0007:0_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,15,1,,,,
8,666:0008:0_0_10_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,10,1,,,,
9,666:0009:0_0_5_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,0,0,5,1,,,,
10,666:0010:5_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,50,1,,,,
11,666:0011:5_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,45,1,,,,
12,666:0012:5_0_40_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,40,1,,,,
13,666:0013:5_0_35_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,35,1,,,,
14,666:0014:5_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,30,1,,,,
15,666:0015:5_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,25,1,,,,
16,666:0016:5_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,20,1,,,,
17,666:0017:5_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,15,1,,,,
18,666:0018:5_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,10,1,,,,
19,666:0019:5_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,5,0,5,1,,,,
